text,class,steps,intent,text_te
Step 1: navigate to the paint booth. Step 2: paint the bumper in the paint booth.,Planning,"[{'action': 'navigate', 'target': 'paint booth'}, {'action': 'paint', 'object': 'bumper', 'location': 'paint booth'}]",,దశ 1: పెయింట్ స్టాఫ్ కు నావిగేట్ చేయండి. దశ 2: పెయింట్ స్టాఫ్ లో బంపర్ పెయింట్ చేయండి.
"Commence with navigate to the paint booth. After that, perform paint the bumper in the paint booth.",Planning,"[{'action': 'navigate', 'target': 'paint booth'}, {'action': 'paint', 'object': 'bumper', 'location': 'paint booth'}]",,"పెయింట్ స్టాబ్కు నావిగేట్ చేయడం ద్వారా ప్రారంభించండి. ఆ తరువాత, పెయింట్ స్టాబ్లో బంపర్ను పెయింట్ చేయండి."
"Initially, navigate to the paint booth, then carry on with paint the bumper in the paint booth.",Planning,"[{'action': 'navigate', 'target': 'paint booth'}, {'action': 'paint', 'object': 'bumper', 'location': 'paint booth'}]",,"మొదట్లో, పెయింట్ స్టాఫ్కు నావిగేట్ చేయండి, ఆపై పెయింట్ స్టాఫ్లో బంపర్ను పెయింట్ చేయడం కొనసాగించండి."
"Initially, carry out navigate to the dashboard fitting area. Once done, initiate install the infotainment unit in the center console.",Planning,"[{'action': 'navigate', 'target': 'dashboard fitting area'}, {'action': 'install', 'object': 'infotainment unit', 'location': 'center console'}]",,"ప్రారంభంలో, డాష్బోర్డ్ అమరిక ప్రాంతానికి నావిగేట్ చేయండి. ఒకసారి పూర్తి చేసిన తర్వాత, సెంటర్ కన్సోల్లో ఇన్ఫోటైన్మెంట్ యూనిట్ను ఇన్స్టాల్ చేయండి."
Execute the first step: navigate to the interior fitting zone. Then complete adjust the seat position in the driver side.,Planning,"[{'action': 'navigate', 'target': 'interior fitting zone'}, {'action': 'adjust', 'object': 'seat position', 'location': 'driver side'}]",,మొదటి దశను అమలు చేయండిః అంతర్గత అమరిక జోన్కు నావిగేట్ చేయండి. అప్పుడు డ్రైవర్ వైపు సీటు స్థానాన్ని పూర్తిగా సర్దుబాటు చేయండి.
First complete the task of fetch the dashboard panel in the storage shelf. Then proceed to install the dashboard panel in the cockpit.,Planning,"[{'action': 'fetch', 'object': 'dashboard panel', 'location': 'storage shelf'}, {'action': 'install', 'object': 'dashboard panel', 'location': 'cockpit'}]",,మొదటి స్టోరేజ్ షెల్ఫ్ లో డాష్బోర్డ్ ప్యానెల్ తీసుకుని పని పూర్తి. అప్పుడు కాక్పిట్ లో డాష్బోర్డ్ ప్యానెల్ ఇన్స్టాల్ కొనసాగండి.
Step A is to weld the suspension bracket in the rear frame. Step B is to tighten the bolts in the rear frame.,Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,దశ A వెనుక ఫ్రేమ్ లోని సస్పెన్షన్ బ్రాకెట్ ను వేల్డరు చేయడం. దశ B వెనుక ఫ్రేమ్ లోని బోర్టులను బిగించడం.
"Commence with navigate to the engine bay. After that, perform install the battery in the engine bay.",Planning,"[{'action': 'navigate', 'target': 'engine bay'}, {'action': 'install', 'object': 'battery', 'location': 'engine bay'}]",,"ఇంజిన్ బేకు నావిగేట్ చేయడం ద్వారా ప్రారంభించండి. ఆ తరువాత, ఇంజిన్ బేకు బ్యాటరీని ఇన్స్టాల్ చేయండి."
"To begin, perform navigate to the paint booth, and then paint the bumper in the paint booth.",Planning,"[{'action': 'navigate', 'target': 'paint booth'}, {'action': 'paint', 'object': 'bumper', 'location': 'paint booth'}]",,"ప్రారంభించడానికి, పెయింట్ స్టాండ్కు నావిగేట్ చేయండి, ఆపై పెయింట్ స్టాండ్లో బంపర్ను పెయింట్ చేయండి."
"Follow this procedure: pick the coolant pipe in the pipe rack, then install the coolant pipe in the engine bay.",Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,"ఈ విధానాన్ని అనుసరించండిః పైపు రాక్ లో శీతలీకరణ ద్రవ పైపు తీయండి, ఆపై ఇంజిన్ బే లో శీతలీకరణ ద్రవ పైపు ఇన్స్టాల్."
"Initially, carry out install the headlight in the front panel. Once done, initiate tighten the mounting screws in the headlight unit.",Planning,"[{'action': 'install', 'object': 'headlight', 'location': 'front panel'}, {'action': 'tighten', 'object': 'mounting screws', 'location': 'headlight unit'}]",,"ప్రారంభంలో, ఫ్రంట్ ప్యానెల్లో ఫ్రంట్ లైట్ను ఇన్స్టాల్ చేయండి. ఒకసారి పూర్తి చేసిన తర్వాత, ఫ్రంట్ లైట్ యూనిట్లో మౌంటు స్క్రూలను బిగించండి."
"You’ll need to fetch the dashboard panel in the storage shelf. Following that, install the dashboard panel in the cockpit.",Planning,"[{'action': 'fetch', 'object': 'dashboard panel', 'location': 'storage shelf'}, {'action': 'install', 'object': 'dashboard panel', 'location': 'cockpit'}]",,"మీరు డాష్బోర్డ్ ప్యానెల్ను స్టోరేజ్ షెల్ఫ్లో తీసుకోవాలి. ఆ తరువాత, డాష్బోర్డ్ ప్యానెల్ను కాక్పిట్లో ఇన్స్టాల్ చేయండి."
"To begin, perform weld the suspension bracket in the rear frame, and then tighten the bolts in the rear frame.",Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,"ముందుగా, వెనుక చట్రంలో సస్పెన్షన్ బ్రాకెట్ను వేల్డింగ్ చేయండి, ఆపై వెనుక చట్రంలో ఉన్న బోల్ట్లను బిగించండి."
Execute the first step: pick the coolant pipe in the pipe rack. Then complete install the coolant pipe in the engine bay.,Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,మొదటి దశను అమలు చేయండిః పైప్ రాక్ లో శీతలీకరణ ద్రవ పైపును ఎంచుకోండి. అప్పుడు ఇంజిన్ బేలో శీతలీకరణ ద్రవ పైపును పూర్తి చేయండి.
"Accomplish fetch the dashboard panel in the storage shelf, then shift focus to install the dashboard panel in the cockpit.",Planning,"[{'action': 'fetch', 'object': 'dashboard panel', 'location': 'storage shelf'}, {'action': 'install', 'object': 'dashboard panel', 'location': 'cockpit'}]",,"సాధించిన స్టోరేజ్ షెల్ఫ్ లో డాష్బోర్డ్ ప్యానెల్ తీసుకుని, అప్పుడు కాక్పిట్ లో డాష్బోర్డ్ ప్యానెల్ ఇన్స్టాల్ దృష్టి మార్చడానికి."
"Accomplish install the headlight in the front panel, then shift focus to tighten the mounting screws in the headlight unit.",Planning,"[{'action': 'install', 'object': 'headlight', 'location': 'front panel'}, {'action': 'tighten', 'object': 'mounting screws', 'location': 'headlight unit'}]",,"ఫ్రంట్ ప్యానెల్లో ఫ్రంట్ లైట్ను ఇన్స్టాల్ చేయండి, ఆపై ఫ్రంట్ లైట్ యూనిట్లోని మౌంటు స్క్రూలను బిగించడానికి దృష్టిని మార్చండి."
"Start your task with navigate to the paint booth, and finalize with paint the bumper in the paint booth.",Planning,"[{'action': 'navigate', 'target': 'paint booth'}, {'action': 'paint', 'object': 'bumper', 'location': 'paint booth'}]",,"మీ పనిని ప్రారంభించండి పెయింట్ స్టాబ్కు నావిగేట్ చేయండి, మరియు పెయింట్ స్టాబ్లోని బంపర్ను పెయింట్ చేయడం ద్వారా ముగించండి."
"Commence with pick the wheel in the parts rack. After that, perform place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"భాగాల రాక్ లో చక్రం ఎంచుకోవడం ప్రారంభించండి. ఆ తరువాత, ఆక్సిల్ హబ్ లో చక్రం ఉంచండి."
"Commence by navigate to the dashboard fitting area, and conclude by install the infotainment unit in the center console.",Planning,"[{'action': 'navigate', 'target': 'dashboard fitting area'}, {'action': 'install', 'object': 'infotainment unit', 'location': 'center console'}]",,"డాష్బోర్డ్ అమరిక ప్రాంతానికి నావిగేట్ చేయడం ద్వారా ప్రారంభించండి, మరియు సెంట్రల్ కన్సోల్లో ఇన్ఫోటైన్మెంట్ యూనిట్ను ఇన్స్టాల్ చేయడం ద్వారా ముగించండి."
"First step: pick the wheel in the parts rack. Immediately after, place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,మొదటి దశః భాగాల రాక్ లోని చక్రాన్ని తీయండి. వెంటనే చక్రాన్ని ఆక్సిల్ హబ్ లోకి ఉంచండి.
"Commence by install the headlight in the front panel, and conclude by tighten the mounting screws in the headlight unit.",Planning,"[{'action': 'install', 'object': 'headlight', 'location': 'front panel'}, {'action': 'tighten', 'object': 'mounting screws', 'location': 'headlight unit'}]",,"ముందు ప్యానెల్లో ఫ్రంట్ లైట్ను ఇన్స్టాల్ చేయడం ద్వారా ప్రారంభించండి, మరియు ఫ్రంట్ లైట్ యూనిట్ లో మౌంటు స్క్రూలను బిగించడం ద్వారా ముగించండి."
"Proceed by first pick the wheel in the parts rack, then move to place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"మొదటి భాగాలు రాక్ లో చక్రం ఎంచుకోండి ద్వారా కొనసాగండి, అప్పుడు అక్షం హబ్ లో చక్రం ఉంచడానికి తరలించడానికి."
"Your first action should be to pick the wheel in the parts rack. Then, place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"మీ మొదటి చర్య భాగాల రాక్ లోని చక్రాన్ని ఎంచుకోవడం. అప్పుడు, చక్రంను ఆక్సిల్ హబ్ లో ఉంచండి."
"Begin the sequence with navigate to the engine bay, then transition to install the battery in the engine bay.",Planning,"[{'action': 'navigate', 'target': 'engine bay'}, {'action': 'install', 'object': 'battery', 'location': 'engine bay'}]",,"ఇంజిన్ బేకు నావిగేట్ చేయడం ద్వారా క్రమాన్ని ప్రారంభించండి, తరువాత ఇంజిన్ బేకు బ్యాటరీని ఇన్స్టాల్ చేయడానికి పరివర్తన చేయండి."
"To begin, pick the wheel in the parts rack. The next action is to place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"ప్రారంభించడానికి, భాగాల రాక్ లోని చక్రాన్ని ఎంచుకోండి. తదుపరి చర్య చక్రాన్ని ఆక్సిల్ హబ్ లో ఉంచడం."
"Initially, carry out weld the suspension bracket in the rear frame. Once done, initiate tighten the bolts in the rear frame.",Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,"ప్రారంభంలో, వెనుక చట్రంలో సస్పెన్షన్ బ్రాకెట్ను వేల్డింగ్ చేయండి. ఒకసారి పూర్తి చేసిన తర్వాత, వెనుక చట్రంలో బోల్ట్లను బిగించండి."
"Carry out pick the coolant pipe in the pipe rack, and continue by install the coolant pipe in the engine bay.",Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,"పైప్ రాక్ లో శీతలీకరణ ద్రవ పైపు తీయటానికి, మరియు ఇంజిన్ బే లో శీతలీకరణ ద్రవ పైపు ఇన్స్టాల్ ద్వారా కొనసాగండి."
"Follow this procedure: inspect the chassis welds in the welding bay, then report the quality control system.",Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,"ఈ విధానాన్ని అనుసరించండిః వెల్డింగ్ బేలో చట్రం వేడి తనిఖీ, అప్పుడు నాణ్యత నియంత్రణ వ్యవస్థ నివేదించండి."
"Initially, carry out inspect the chassis welds in the welding bay. Once done, initiate report the quality control system.",Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,"ప్రారంభంలో, వేడి బేలో చట్రం వేడి తనిఖీ నిర్వహించడానికి. ఒకసారి పూర్తి, నాణ్యత నియంత్రణ వ్యవస్థ నివేదిక ప్రారంభం."
Start the operation with install the headlight in the front panel. Proceed to tighten the mounting screws in the headlight unit.,Planning,"[{'action': 'install', 'object': 'headlight', 'location': 'front panel'}, {'action': 'tighten', 'object': 'mounting screws', 'location': 'headlight unit'}]",,ఫ్రంట్ ప్యానెల్ లో ఫ్రంట్ లైట్ ను ఇన్స్టాల్ చేయడం ద్వారా ఆపరేషన్ను ప్రారంభించండి. ఫ్రంట్ లైట్ యూనిట్ లో మౌంటు స్క్రూలను బిగించడం కొనసాగించండి.
Commence your duties by navigate to the interior fitting zone. The next step is adjust the seat position in the driver side.,Planning,"[{'action': 'navigate', 'target': 'interior fitting zone'}, {'action': 'adjust', 'object': 'seat position', 'location': 'driver side'}]",,అంతర్గత అమరిక జోన్కు నావిగేట్ చేయడం ద్వారా మీ విధులను ప్రారంభించండి. తదుపరి దశ డ్రైవర్ వైపు సీటు స్థానాన్ని సర్దుబాటు చేయడం.
First complete the task of install the headlight in the front panel. Then proceed to tighten the mounting screws in the headlight unit.,Planning,"[{'action': 'install', 'object': 'headlight', 'location': 'front panel'}, {'action': 'tighten', 'object': 'mounting screws', 'location': 'headlight unit'}]",,ముందు ప్యానెల్లో ఫ్రంట్ లైట్ను ఇన్స్టాల్ చేసే పనిని పూర్తి చేయండి. అప్పుడు ఫ్రంట్ లైట్ యూనిట్లో మౌంటు స్క్రూలను బిగించండి.
Commence your duties by fetch the dashboard panel in the storage shelf. The next step is install the dashboard panel in the cockpit.,Planning,"[{'action': 'fetch', 'object': 'dashboard panel', 'location': 'storage shelf'}, {'action': 'install', 'object': 'dashboard panel', 'location': 'cockpit'}]",,స్టోరేజ్ షెల్ఫ్ లో డాష్బోర్డ్ ప్యానెల్ తీసుకొని మీ విధులను ప్రారంభించండి. తదుపరి దశలో డాష్బోర్డ్ ప్యానెల్ను కాక్పిట్లో ఇన్స్టాల్ చేయండి.
Execute pick the wheel in the parts rack before moving to place the wheel in the axle hub.,Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,ఆక్సిల్ హబ్ లో చక్రం ఉంచడానికి తరలించడానికి ముందు భాగాలు రాక్ లో చక్రం ఎంచుకోండి అమలు.
"Initiate by navigate to the interior fitting zone. Next, proceed to adjust the seat position in the driver side.",Planning,"[{'action': 'navigate', 'target': 'interior fitting zone'}, {'action': 'adjust', 'object': 'seat position', 'location': 'driver side'}]",,"అంతర్గత అమరిక జోన్కు నావిగేట్ చేయడం ద్వారా ప్రారంభించండి. తరువాత, డ్రైవర్ వైపు సీటు స్థానాన్ని సర్దుబాటు చేయడానికి కొనసాగండి."
"Follow this procedure: navigate to the dashboard fitting area, then install the infotainment unit in the center console.",Planning,"[{'action': 'navigate', 'target': 'dashboard fitting area'}, {'action': 'install', 'object': 'infotainment unit', 'location': 'center console'}]",,"ఈ విధానాన్ని అనుసరించండిః డాష్బోర్డ్ అమరిక ప్రాంతానికి నావిగేట్ చేయండి, ఆపై సెంట్రల్ కన్సోల్లో ఇన్ఫోటైన్మెంట్ యూనిట్ను ఇన్స్టాల్ చేయండి."
"Start your task with pick the wheel in the parts rack, and finalize with place the wheel in the axle hub.",Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,"మీ పనిని ప్రారంభించండి, భాగాల రాక్లో చక్రం ఎంచుకోండి, మరియు ఆక్సిల్ హబ్లో చక్రం ఉంచడం ద్వారా ముగించండి."
"First, complete weld the suspension bracket in the rear frame, then handle tighten the bolts in the rear frame.",Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,"మొదటి, వెనుక చట్రంలో సస్పెన్షన్ బ్రాకెట్ పూర్తి వేడి, అప్పుడు హ్యాండిల్ వెనుక చట్రంలో బోల్ట్లు బిగించి."
"Proceed by first navigate to the engine bay, then move to install the battery in the engine bay.",Planning,"[{'action': 'navigate', 'target': 'engine bay'}, {'action': 'install', 'object': 'battery', 'location': 'engine bay'}]",,"మొదటి ఇంజిన్ బేకు నావిగేట్ ద్వారా కొనసాగండి, అప్పుడు ఇంజిన్ బేకు బ్యాటరీని ఇన్స్టాల్ చేయడానికి తరలించండి."
Step A is to pick the wheel in the parts rack. Step B is to place the wheel in the axle hub.,Planning,"[{'action': 'pick', 'object': 'wheel', 'location': 'parts rack'}, {'action': 'place', 'object': 'wheel', 'location': 'axle hub'}]",,దశ A అనేది భాగాల రాక్ లోని చక్రాన్ని ఎంచుకోవడం. దశ B అనేది చక్రాన్ని ఆక్సిల్ హబ్ లో ఉంచడం.
Execute the first step: navigate to the engine bay. Then complete install the battery in the engine bay.,Planning,"[{'action': 'navigate', 'target': 'engine bay'}, {'action': 'install', 'object': 'battery', 'location': 'engine bay'}]",,మొదటి దశను అమలు చేయండిః ఇంజిన్ బేకు నావిగేట్ చేయండి. అప్పుడు ఇంజిన్ బేకు బ్యాటరీని పూర్తి చేయండి.
"Commence with pick the coolant pipe in the pipe rack. After that, perform install the coolant pipe in the engine bay.",Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,"పైప్ రాక్ లో శీతలీకరణ ద్రవ పైపు ఎంచుకోవడం ప్రారంభించండి. ఆ తరువాత, అమలు ఇంజిన్ బే లో శీతలీకరణ ద్రవ పైపు ఇన్స్టాల్."
"You’ll need to navigate to the interior fitting zone. Following that, adjust the seat position in the driver side.",Planning,"[{'action': 'navigate', 'target': 'interior fitting zone'}, {'action': 'adjust', 'object': 'seat position', 'location': 'driver side'}]",,"మీరు అంతర్గత అమరిక జోన్కు నావిగేట్ చేయాలి. ఆ తరువాత, డ్రైవర్ వైపు సీటు స్థానాన్ని సర్దుబాటు చేయండి."
Step one requires you to fetch the dashboard panel in the storage shelf. Step two involves install the dashboard panel in the cockpit.,Planning,"[{'action': 'fetch', 'object': 'dashboard panel', 'location': 'storage shelf'}, {'action': 'install', 'object': 'dashboard panel', 'location': 'cockpit'}]",,మొదటి దశలో మీరు డాష్బోర్డ్ ప్యానెల్ను స్టోరేజ్ షెల్ఫ్లో తీసుకెళ్లాలి. రెండవ దశలో డాష్బోర్డ్ ప్యానెల్ను కాక్పిట్లో ఇన్స్టాల్ చేయాలి.
First do this: inspect the chassis welds in the welding bay. Next up: report the quality control system.,Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,మొదటి చేయండిః వేడి గల లో చట్రం వేడి తనిఖీ. తదుపరిః నాణ్యత నియంత్రణ వ్యవస్థ నివేదిక.
Do this first: navigate to the engine bay. Then this: install the battery in the engine bay.,Planning,"[{'action': 'navigate', 'target': 'engine bay'}, {'action': 'install', 'object': 'battery', 'location': 'engine bay'}]",,మొదటి చేయండిః ఇంజిన్ బేకు నావిగేట్ చేయండి. అప్పుడు ఈః ఇంజిన్ బేకు బ్యాటరీని ఇన్స్టాల్ చేయండి.
"Your first action should be to weld the suspension bracket in the rear frame. Then, tighten the bolts in the rear frame.",Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,"మీ మొదటి చర్య వెనుక ఫ్రేమ్ లోని సస్పెన్షన్ బ్రాకెట్ ను వేల్డై ఉండాలి. అప్పుడు, వెనుక ఫ్రేమ్ లోని బోర్టులను బిగించండి."
"Undertake pick the coolant pipe in the pipe rack, then take the next step and install the coolant pipe in the engine bay.",Planning,"[{'action': 'pick', 'object': 'coolant pipe', 'location': 'pipe rack'}, {'action': 'install', 'object': 'coolant pipe', 'location': 'engine bay'}]",,"పైప్ రాక్ లో శీతలీకరణ ద్రవ పైపు తీయటానికి, అప్పుడు తదుపరి దశలో మరియు ఇంజిన్ బే లో శీతలీకరణ ద్రవ పైపు ఇన్స్టాల్."
"Start with inspect the chassis welds in the welding bay, followed by report the quality control system.",Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,"వేడి బేలో చట్రం వేడి తనిఖీ ప్రారంభించండి, తరువాత నాణ్యత నియంత్రణ వ్యవస్థ నివేదిక."
"You should weld the suspension bracket in the rear frame. Then, make sure to tighten the bolts in the rear frame.",Planning,"[{'action': 'weld', 'object': 'suspension bracket', 'location': 'rear frame'}, {'action': 'tighten', 'object': 'bolts', 'location': 'rear frame'}]",,"మీరు వెనుక ఫ్రేమ్ లోని సస్పెన్షన్ బ్రాకెట్ ను వేల్డై ఉండాలి. అప్పుడు, వెనుక ఫ్రేమ్ లోని బోర్టులను గట్టిగా కట్టుకోండి."
"To begin, inspect the chassis welds in the welding bay. The next action is to report the quality control system.",Planning,"[{'action': 'inspect', 'object': 'chassis welds', 'location': 'welding bay'}, {'action': 'report', 'target': 'quality control system'}]",,"మొదటిగా, వెల్డింగ్ బేలో చట్రం వేడి తనిఖీ చేయండి. తదుపరి చర్య నాణ్యత నియంత్రణ వ్యవస్థను నివేదించడం."
